c_custkey,c_name,revenue,c_acctbal,n_name,c_address,c_phone,c_comment,timestamp
1829,Customer#000001829,53494.0857,2886.86,ALGERIA,"9TWqvF0jyqs5eJ O0OPAprl0chk8WGTf,",10-582-390-6176,ccounts. boldly bold foxes use slyly even requests. never regular dolphins at th,224760
1829,Customer#000001829,0.0,2886.86,ALGERIA,"9TWqvF0jyqs5eJ O0OPAprl0chk8WGTf,",10-582-390-6176,ccounts. boldly bold foxes use slyly even requests. never regular dolphins at th,313963
6952,Customer#000006952,90215.1936,9600.3,ARGENTINA,"tedolX6bU7a07kS,HSV1Kh2VartW",11-964-186-1638,ckages play pending ideas. pending dependencies wake blithely along the unusual accounts. eve,581510
6952,Customer#000006952,126509.7386,9600.3,ARGENTINA,"tedolX6bU7a07kS,HSV1Kh2VartW",11-964-186-1638,ckages play pending ideas. pending dependencies wake blithely along the unusual accounts. eve,581510
6952,Customer#000006952,128312.8766,9600.3,ARGENTINA,"tedolX6bU7a07kS,HSV1Kh2VartW",11-964-186-1638,ckages play pending ideas. pending dependencies wake blithely along the unusual accounts. eve,581510
6952,Customer#000006952,132702.8222,9600.3,ARGENTINA,"tedolX6bU7a07kS,HSV1Kh2VartW",11-964-186-1638,ckages play pending ideas. pending dependencies wake blithely along the unusual accounts. eve,581510
7763,Customer#000007763,48310.02,4516.98,ARGENTINA,XQpGwkvyfB35aFVA8MXkWg0byM,11-730-932-7228,al deposits across the slyly unusual asymptotes sleep slyly slyly final ideas. ironic attainments,729612
6952,Customer#000006952,42487.6286,9600.3,ARGENTINA,"tedolX6bU7a07kS,HSV1Kh2VartW",11-964-186-1638,ckages play pending ideas. pending dependencies wake blithely along the unusual accounts. eve,786201
6952,Customer#000006952,6193.083599999998,9600.3,ARGENTINA,"tedolX6bU7a07kS,HSV1Kh2VartW",11-964-186-1638,ckages play pending ideas. pending dependencies wake blithely along the unusual accounts. eve,786205
6952,Customer#000006952,4389.945599999998,9600.3,ARGENTINA,"tedolX6bU7a07kS,HSV1Kh2VartW",11-964-186-1638,ckages play pending ideas. pending dependencies wake blithely along the unusual accounts. eve,786209
6952,Customer#000006952,-1.8189894035458565E-12,9600.3,ARGENTINA,"tedolX6bU7a07kS,HSV1Kh2VartW",11-964-186-1638,ckages play pending ideas. pending dependencies wake blithely along the unusual accounts. eve,786211
9149,Customer#000009149,1609.7731999999999,-789.42,ARGENTINA,"jJYaHVm8nO7XPj,SglOK,RWkhEVy",11-614-474-2894,lyly pending escapades cajole. slyly ironic deposits about the blithely regular platelets sleep carefully ir,814130
9149,Customer#000009149,14186.5532,-789.42,ARGENTINA,"jJYaHVm8nO7XPj,SglOK,RWkhEVy",11-614-474-2894,lyly pending escapades cajole. slyly ironic deposits about the blithely regular platelets sleep carefully ir,814130
9149,Customer#000009149,85784.2262,-789.42,ARGENTINA,"jJYaHVm8nO7XPj,SglOK,RWkhEVy",11-614-474-2894,lyly pending escapades cajole. slyly ironic deposits about the blithely regular platelets sleep carefully ir,814130
9316,Customer#000009316,35521.503600000004,1740.47,ARGENTINA,",CfVv fctTa 8VUC",11-438-577-1221,s. even deposits believe furiously ironic requests. carefully ironic instructions alongside of,899330
9316,Customer#000009316,52298.58810000001,1740.47,ARGENTINA,",CfVv fctTa 8VUC",11-438-577-1221,s. even deposits believe furiously ironic requests. carefully ironic instructions alongside of,899330
9316,Customer#000009316,69599.9449,1740.47,ARGENTINA,",CfVv fctTa 8VUC",11-438-577-1221,s. even deposits believe furiously ironic requests. carefully ironic instructions alongside of,899330
8125,Customer#000008125,36671.328,-800.69,ARGENTINA,"1p9,y6q7WPE3jmgW",11-197-480-4848,usly regular dolphins haggle slyly. blithely final deposits sleep regular excuses. slyly pending deposits a,910142
8125,Customer#000008125,96069.7776,-800.69,ARGENTINA,"1p9,y6q7WPE3jmgW",11-197-480-4848,usly regular dolphins haggle slyly. blithely final deposits sleep regular excuses. slyly pending deposits a,910142
8125,Customer#000008125,112652.3046,-800.69,ARGENTINA,"1p9,y6q7WPE3jmgW",11-197-480-4848,usly regular dolphins haggle slyly. blithely final deposits sleep regular excuses. slyly pending deposits a,910142
8125,Customer#000008125,125841.0846,-800.69,ARGENTINA,"1p9,y6q7WPE3jmgW",11-197-480-4848,usly regular dolphins haggle slyly. blithely final deposits sleep regular excuses. slyly pending deposits a,910142
7763,Customer#000007763,0.0,4516.98,ARGENTINA,XQpGwkvyfB35aFVA8MXkWg0byM,11-730-932-7228,al deposits across the slyly unusual asymptotes sleep slyly slyly final ideas. ironic attainments,919233
8125,Customer#000008125,89169.7566,-800.69,ARGENTINA,"1p9,y6q7WPE3jmgW",11-197-480-4848,usly regular dolphins haggle slyly. blithely final deposits sleep regular excuses. slyly pending deposits a,956157
8125,Customer#000008125,29771.307,-800.69,ARGENTINA,"1p9,y6q7WPE3jmgW",11-197-480-4848,usly regular dolphins haggle slyly. blithely final deposits sleep regular excuses. slyly pending deposits a,956157
8125,Customer#000008125,13188.780000000002,-800.69,ARGENTINA,"1p9,y6q7WPE3jmgW",11-197-480-4848,usly regular dolphins haggle slyly. blithely final deposits sleep regular excuses. slyly pending deposits a,956157
8125,Customer#000008125,1.8189894035458565E-12,-800.69,ARGENTINA,"1p9,y6q7WPE3jmgW",11-197-480-4848,usly regular dolphins haggle slyly. blithely final deposits sleep regular excuses. slyly pending deposits a,956157
10730,Customer#000010730,14100.196,5374.88,ARGENTINA,"0DI4C xwE6i,bsZu9l",11-687-455-3362,"inal accounts wake. quickly ironic foxes sleep after the ironic, silent deposits. slyly special accounts ",1037954
10730,Customer#000010730,33530.746,5374.88,ARGENTINA,"0DI4C xwE6i,bsZu9l",11-687-455-3362,"inal accounts wake. quickly ironic foxes sleep after the ironic, silent deposits. slyly special accounts ",1037962
10730,Customer#000010730,75659.791,5374.88,ARGENTINA,"0DI4C xwE6i,bsZu9l",11-687-455-3362,"inal accounts wake. quickly ironic foxes sleep after the ironic, silent deposits. slyly special accounts ",1037964
9149,Customer#000009149,84174.45300000001,-789.42,ARGENTINA,"jJYaHVm8nO7XPj,SglOK,RWkhEVy",11-614-474-2894,lyly pending escapades cajole. slyly ironic deposits about the blithely regular platelets sleep carefully ir,1068425
9149,Customer#000009149,71597.67300000001,-789.42,ARGENTINA,"jJYaHVm8nO7XPj,SglOK,RWkhEVy",11-614-474-2894,lyly pending escapades cajole. slyly ironic deposits about the blithely regular platelets sleep carefully ir,1068429
9149,Customer#000009149,0.0,-789.42,ARGENTINA,"jJYaHVm8nO7XPj,SglOK,RWkhEVy",11-614-474-2894,lyly pending escapades cajole. slyly ironic deposits about the blithely regular platelets sleep carefully ir,1068431
9316,Customer#000009316,34078.4413,1740.47,ARGENTINA,",CfVv fctTa 8VUC",11-438-577-1221,s. even deposits believe furiously ironic requests. carefully ironic instructions alongside of,1077639
9316,Customer#000009316,17301.356799999998,1740.47,ARGENTINA,",CfVv fctTa 8VUC",11-438-577-1221,s. even deposits believe furiously ironic requests. carefully ironic instructions alongside of,1077639
9316,Customer#000009316,-3.637978807091713E-12,1740.47,ARGENTINA,",CfVv fctTa 8VUC",11-438-577-1221,s. even deposits believe furiously ironic requests. carefully ironic instructions alongside of,1077639
10730,Customer#000010730,61559.595,5374.88,ARGENTINA,"0DI4C xwE6i,bsZu9l",11-687-455-3362,"inal accounts wake. quickly ironic foxes sleep after the ironic, silent deposits. slyly special accounts ",1096511
10730,Customer#000010730,42129.045,5374.88,ARGENTINA,"0DI4C xwE6i,bsZu9l",11-687-455-3362,"inal accounts wake. quickly ironic foxes sleep after the ironic, silent deposits. slyly special accounts ",1096511
10730,Customer#000010730,-7.275957614183426E-12,5374.88,ARGENTINA,"0DI4C xwE6i,bsZu9l",11-687-455-3362,"inal accounts wake. quickly ironic foxes sleep after the ironic, silent deposits. slyly special accounts ",1096511
16870,Customer#000016870,23194.5168,3522.52,BRAZIL,glhsJsQwb2X9Irtmx,12-646-795-1062,ully within the carefully regu,1597766
