c_custkey,c_name,revenue,c_acctbal,n_name,c_address,c_phone,c_comment
147530,"Customer#000147530",337156.03,369.88,"UNITED KINGDOM","9Sv2sqf6YjvqRMh4 z8VqajOs","33-300-718-5524","ages. blithely even requests sleep furiously before the ho"
124729,"Customer#000124729",320831.13,6498.28,"UNITED KINGDOM","393kMqhV48Pc","33-317-988-6728","even requests along the regularly permanent deposits sleep according to the expr"
121624,"Customer#000121624",309054.73,-552.71,"SAUDI ARABIA","7E0R,FEEy07fRCbx8RjdPB","30-361-574-2470","y against the daring asymptotes. permanently special ideas above the blithely even packages affix blithely even,"
144505,"Customer#000144505",273163.24,-655.69,"UNITED STATES","qAg4ZUafvgYpM8WdomBXEOGZVH96yzr","34-355-559-6376","ld foxes wake slyly carefully "
128035,"Customer#000128035",259965.84,8823.16,"VIETNAM","YYRv33y5szf7KL hXj VW5QLl0Ky","31-638-400-5133","al excuses sleep slyly unusual instruction"
137084,"Customer#000137084",256159.53,7746.16,"RUSSIA","ZGoUX8t022sts","32-225-905-6688","uriously bold requests. silent, silent ideas nag quickly-- quickly even foxes are a"
133357,"Customer#000133357",253399.69,9255.00,"RUSSIA","rAaukaXCIY7u joyGreWDw27bTW3","32-377-694-7123","uctions. bold, even ideas boost slyly express foxes. slyly regular req"
144917,"Customer#000144917",244968.68,-199.15,"RUSSIA","9XXqAZDkU8sYer5B8 QNSka gViD","32-997-133-8757","en platelets between the furiously quiet deposits are about the final, regular requests. fluffily special depen"
128171,"Customer#000128171",240161.11,-549.10,"UNITED KINGDOM","NhgXj57HmPaqRpNdsevyot","33-812-230-4325","he slyly pending theodolites. furiou"
121715,"Customer#000121715",238796.32,-795.45,"VIETNAM","tcI2jsSvFGmL","31-540-485-8584","ideas wake. regular, ironic foxes wake carefully bravely busy accounts. e"
134059,"Customer#000134059",237679.25,4152.10,"RUSSIA","zstZoZnLBV","32-254-752-2489"," dependencies nag carefully blithely busy accounts. regular pac"
148501,"Customer#000148501",237143.99,3741.14,"UNITED KINGDOM","iEVN9u3G6qfFok","33-457-463-5450","the express packages. blithely even dependencies across the fluffily quiet ideas haggle fu"
135664,"Customer#000135664",228698.12,8069.83,"VIETNAM","z9sga5odgzMaGDQCPnwcQ0Qf9GFDFrnPqtpYPFI","31-502-979-8699","es are carefully after the dep"
130598,"Customer#000130598",225054.12,2918.66,"VIETNAM","8rsKtj8khmGsbYs1lj96","31-132-147-9602","gular deposits cajole slyly. slyly even packages cajole slowly. express i"
121525,"Customer#000121525",224741.22,1944.27,"RUSSIA","777KUrNrP2XikInVSSHY","32-214-979-3062"," sleep across the carefully ironic ideas. bold requests cajole carefully. even"
126625,"Customer#000126625",224128.58,7123.49,"UNITED STATES","FWqkKoLCHra fXyb,sr","34-372-442-1092","packages across the carefully final fo"
135586,"Customer#000135586",217713.84,5715.25,"SAUDI ARABIA","zC5Znd6jQMSy1","30-436-620-8099","odolites are fluffily regular theodolites. asymptotes sleep slyly carefully express foxes. regular packages are. "
142015,"Customer#000142015",216942.45,3841.67,"UNITED KINGDOM","fr1cn7EjamsnfHHafh","33-699-169-5328","the bold deposits. slyly regular accounts ou"
130382,"Customer#000130382",211551.42,2204.54,"SAUDI ARABIA","NvPdEKk5lH,m5EksxlZLgx,52sJLGOOxN8EcE8d","30-325-511-5643","equests wake quickly carefully express deposit"
131234,"Customer#000131234",211015.09,4207.91,"SAUDI ARABIA","D2vr6hwDPr96LTqmpruIqVrHh","30-844-473-7672","lly around the slyly even ideas. carefully unusual dependencies eat slyly b"
137893,"Customer#000137893",194636.03,5212.07,"RUSSIA","nIsBJlfbYNKQzivz6O13XgTidz","32-857-998-6536","g deposits. blithely even excuses integrate. a"
130277,"Customer#000130277",194325.28,5209.06,"UNITED STATES","ctYf9,9VjZXWjduX0uJUpX","34-622-180-1636","ideas are quickly blithely special deposits. ironic requests above the furiously regular ideas use carefully ar"
141001,"Customer#000141001",193616.98,1370.87,"SAUDI ARABIA","VaOBbzmM7ViQnMeGxAE7BKGYUNnvFQZ","30-762-704-3342","o the carefully final excuses. slyly regular accounts sleep silently at the fr"
121727,"Customer#000121727",189968.00,3070.96,"RUSSIA","5Cyl5Ip2PrTFDyZ9ljBU3ui","32-375-669-9290","lyly slyly unusual platelets. finally bold asymptote"
136462,"Customer#000136462",186102.09,9241.09,"VIETNAM","yR7Wk3,YaNadQrufTgMuZ","31-411-709-6471",". asymptotes wake furiously. carefully regular ideas sleep furiously carefully bold accou"
133594,"Customer#000133594",186091.93,3673.92,"UNITED STATES","Umm47Eqhb77dCaxIBwYEe6jYn5M2","34-657-917-3085","r accounts-- even, silent excuses nod at the express courts. regular, special dolphins boost against t"
137797,"Customer#000137797",185069.31,-129.05,"VIETNAM","2XjciXfR7v8iiS5jThyUlTm5","31-516-915-8776","ely ironic requests affix care"
129188,"Customer#000129188",184683.13,9009.32,"UNITED KINGDOM","ZQbY7PU7MkHFriL","33-851-853-7200","al pinto beans. final, stealthy pinto beans cajole fluffily. unusual somas across the pending, pending pinto b"
146845,"Customer#000146845",184070.03,8349.42,"RUSSIA","e6SyIot,Nta0TRUcNJHUpwYMhrB3","32-699-610-5506","ts wake quickly. blithely express accounts are slyly agai"
123265,"Customer#000123265",180141.76,9421.58,"RUSSIA","2mzLDfPGhBoqx9JIHiA6DCnhGSeBhu2","32-987-267-7310","carefully special dolphins sleep regularly. unusual foxes nag busily"
132748,"Customer#000132748",177353.12,5688.34,"RUSSIA","0R1FjKr8a2uhCHNHZpYxcnsM4P","32-827-830-8116","posits-- deposits grow about the idly regular requests. fu"
122756,"Customer#000122756",176224.39,1579.02,"SAUDI ARABIA","3Vnrc20bzDPpNtHkWlv2039SP","30-728-355-7983","pendencies snooze slyly carefully sly foxes. final dependenc"
145252,"Customer#000145252",174856.70,2067.39,"VIETNAM","0bdLIh41jepB5","31-798-860-4242","y regular requests haggle quickly along the blithely express accounts. regular, sly d"
134335,"Customer#000134335",173924.49,7355.78,"UNITED STATES","EEBiz6j0 FotjalLM5X4NS7h0JD7FgVBkW Ph","34-820-394-8706","ully according to the unusual requests. fluffily regular packages lose carefully regular instructions. pinto "
138317,"Customer#000138317",171454.91,7183.74,"UNITED KINGDOM","f3dKPKY9coZKMcwz1GsWH1xBB","33-865-995-1573","out the deposits. final packages ca"
148922,"Customer#000148922",171204.94,1919.96,"UNITED KINGDOM","b01aGYtjdj,u","33-633-369-6360","le blithely express, bold decoys. quickly even deposits are blithely after the furiously even theodolites; never ir"
143902,"Customer#000143902",169604.80,3468.53,"VIETNAM","2OgnbXy5X9n8mk2beE,Hq06yY","31-609-354-4373","st blithely about the quickly ironic d"
133568,"Customer#000133568",168846.07,1321.09,"SAUDI ARABIA","IOZZfC8Tv m1seK0m wTl7bDLhXLZ5ltwBAE,Pl","30-857-856-3457","fluffily around the ironic, express ideas. unusual, "
127064,"Customer#000127064",168482.88,1139.01,"SAUDI ARABIA","6gh4FnCme7zkTkaV1oiMb8s g6","30-907-488-9946","counts. fluffily special sheaves above the accounts detect quickly regular accoun"
121073,"Customer#000121073",168376.20,7866.60,"UNITED STATES","dYzs8YJrB4kr5Y8hL5sxnZ2GniS4q","34-623-441-7823","x furiously ruthless pinto beans. blithely ironic instruc"
135587,"Customer#000135587",165846.73,2227.41,"UNITED STATES","1a0NnOR27cDw2,dM14HAUPFlmZb xkiF,AVU","34-577-248-2006","sleep above the slyly express deposits. pinto beans above the slyly final theo"
140492,"Customer#000140492",165579.09,5505.97,"RUSSIA","ugFwUZDaUKLgcpd82,yiDA5nxxHqXQv","32-676-384-9504","leep blithely courts-- regula"
146284,"Customer#000146284",165547.29,647.98,"UNITED STATES","XJHkVD,nKhb,16LMY","34-964-936-2204"," even pinto beans mold fluffily after the asymptotes. quickl"
