c_custkey,c_name,revenue,c_acctbal,n_name,c_address,c_phone,c_comment,timestamp
935,Customer#000000935,1120.56,2531.25,ALGERIA,XkVT4jvetY4JV76IAkd91sSp9CqsICE,10-724-445-8323, furiously pending ideas. daringly ,48482
263,Customer#000000263,42092.352,1162.03,ARGENTINA,"Y2pxeGWkTyaq,0RCzIbZ3",11-276-906-3193,usly ironic theodolites cajole furiously. final ep,73422
263,Customer#000000263,56194.244999999995,1162.03,ARGENTINA,"Y2pxeGWkTyaq,0RCzIbZ3",11-276-906-3193,usly ironic theodolites cajole furiously. final ep,73423
313,Customer#000000313,71325.5,6115.81,ALGERIA,Ay52vCrTXsSmp7TmQ1kujvuItfLGx,10-401-786-6040,g to the even dependencies. accoun,79243
313,Customer#000000313,94088.0552,6115.81,ALGERIA,Ay52vCrTXsSmp7TmQ1kujvuItfLGx,10-401-786-6040,g to the even dependencies. accoun,79246
646,Customer#000000646,17678.9001,6074.42,BRAZIL,"gogI8kweD 2H6U,01lbIp0UWUwljSue,KRcC",12-177-329-4316,ptotes. silent requests cajole fluffily along the slyly permanent ideas. pending instr,61206
670,Customer#000000670,16116.480000000001,6738.93,BRAZIL,RJtcLv6Tjpx,12-839-426-4266,y unusual deposits are carefully regular foxes. packages dazzle carefully. furiously unusual d,61206
965,Customer#000000965,57161.471999999994,4768.8,BRAZIL,"UigBc,9d1iLtQAVatnWACSDc9mNx0mYl",12-893-735-6415,lly enticing pinto beans haggle requests. evenly express grouch,61206
965,Customer#000000965,114061.693,4768.8,BRAZIL,"UigBc,9d1iLtQAVatnWACSDc9mNx0mYl",12-893-735-6415,lly enticing pinto beans haggle requests. evenly express grouch,61206
640,Customer#000000640,13281.7832,3025.84,BRAZIL,"j3vjr0 n,pJFG4gIOtC",12-702-315-6637,lly. furiously quick deposits haggle quickly regular packages. pinto ,83846
1124,Customer#000001124,77875.68,5512.73,ARGENTINA,"EQNw9dNy63,",11-709-582-2006,ctions wake. packages haggle furiously. express,97683
1124,Customer#000001124,109718.4,5512.73,ARGENTINA,"EQNw9dNy63,",11-709-582-2006,ctions wake. packages haggle furiously. express,97685
1124,Customer#000001124,118372.98,5512.73,ARGENTINA,"EQNw9dNy63,",11-709-582-2006,ctions wake. packages haggle furiously. express,97688
1124,Customer#000001124,168281.4022,5512.73,ARGENTINA,"EQNw9dNy63,",11-709-582-2006,ctions wake. packages haggle furiously. express,97689
1525,Customer#000001525,88028.64,2915.69,ALGERIA,"NtS KugGxV4GMBxNAwZdR6wwq02 fd y5,M",10-178-851-9228,cial dependencies. ironic accounts integrate regularly across the permanent accounts. quickly ,101454
1525,Customer#000001525,101556.9966,2915.69,ALGERIA,"NtS KugGxV4GMBxNAwZdR6wwq02 fd y5,M",10-178-851-9228,cial dependencies. ironic accounts integrate regularly across the permanent accounts. quickly ,101457
1529,Customer#000001529,50761.2,8221.42,BRAZIL,NYQrlaZMT2rOQadTbfSpAdPPTQwpWQEEWD,12-170-370-8690,"each blithely. ironic, even packages sleep slyly alongside of the furiousl",77934
1529,Customer#000001529,115535.3094,8221.42,BRAZIL,NYQrlaZMT2rOQadTbfSpAdPPTQwpWQEEWD,12-170-370-8690,"each blithely. ironic, even packages sleep slyly alongside of the furiousl",77934
1529,Customer#000001529,170291.3286,8221.42,BRAZIL,NYQrlaZMT2rOQadTbfSpAdPPTQwpWQEEWD,12-170-370-8690,"each blithely. ironic, even packages sleep slyly alongside of the furiousl",77934
1529,Customer#000001529,195782.2654,8221.42,BRAZIL,NYQrlaZMT2rOQadTbfSpAdPPTQwpWQEEWD,12-170-370-8690,"each blithely. ironic, even packages sleep slyly alongside of the furiousl",77934
1708,Customer#000001708,50222.6725,9702.83,BRAZIL,BdT2freRSXKa31JLnSBliCXmhi8J,12-857-766-2851, always. requests are furiously packages. slyly regular tithes c,87063
1963,Customer#000001963,56752.313799999996,680.33,BRAZIL,WFokQKiIqXjIiH,12-406-701-6501,"ously fluffily express theodolites. ironic, final dolphins snooze regular ac",100069
1963,Customer#000001963,79152.06259999999,680.33,BRAZIL,WFokQKiIqXjIiH,12-406-701-6501,"ously fluffily express theodolites. ironic, final dolphins snooze regular ac",100069
